Discipline,FY,financial_Table,Category,Description,Amount
EM,2021,col 2,Unused Funds, Unspent Funds ,12500
FM,1920,col 1,"Salaries, Benefits and Wages for Faculty"," Teresa Ku-Borden, MD, Associate Director/Director of Equity &amp; Inclusion ",30000
EM,2021,col 1,"Salaries, Benefits and Wages for Residents", KRISTEN N. HANCOCK ,41111.35
EM,2021,col 2,"Salaries, Benefits and Wages for Residents", KRISTEN N. HANCOCK ,2295.24
EM,2021,col 3,"Salaries, Benefits and Wages for Residents", CHARGED TO AHS ,-18406.59
FM,1920,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries ,30000
FM,1920,col 2,Training and Education Costs, Family Medicine Board Review SSP Program Access - 48 Residents ,20880
FM,1920,col 3,Medical Equipment, Anatomy Injection Trainers ,3378
FM,1920,col 4,Unused Funds, Unspent Funds ,65562.03
FM,1920,col 1,"Salaries, Benefits and Wages for Faculty", salaries and fringe July-Dec 2021 ,59936
FM,1920,col 2,Unused Funds, Projected expenses; salaries Dr. Yu and Dr. Tokumitsu Jan-June 2022 ,95558
FM,1920,col 1,"Salaries, Benefits and Wages for Residents"," Qtr #1 Salary and Benefits for Bui, Phoebi ",17890
FM,1920,col 2,"Salaries, Benefits and Wages for Residents"," Qtr #2 Salary and Benefits for Bui, Phoebi ",20872
FM,1920,col 3,Unused Funds," Will be used for Salary for Bui, Phoebi in Qtr 3 ",730
EM,2021,col 1,Information Technology (IT) Systems, New Innovation Software ,11360
EM,2021,col 2,Travel Conferences," ACEP21 Conference, Boston, MA - Ault-Riche ",2120.84
EM,2021,col 3,Travel Conferences," ACEP21 Conference, Boston, MA ",2009.34
EM,2021,col 4,"Salaries, Benefits and Wages for Faculty", Faculty Administrative Compensation ,39101.76
EM,2021,col 5,"Salaries, Benefits and Wages for Residents", Resident Salaries ,5408.06
EM,2021,col 1,"Salaries, Benefits and Wages for Residents"," Due to rural designation, no direct medical education (DME) funds are available to pay for 2 resident salaries/stipends. Grant funds provided is allocated to resident salary support. ",56250
EM,2021,col 1,Faculty Development, ACEP Travel/Registration expenses - 7 faculty ,5000
EM,2021,col 2,"Memberships, Subscriptions and Professional Activity Costs", ACEP registration fee for 12 PGY3 ,3800
EM,2021,col 3,Non-Medical Benefits, Wellness day activites for PGY1/2/3 ,5000
EM,2021,col 4,"Salaries, Benefits and Wages for Other GME Staff", Portion of faculty wages for one faculty member ,16200
EM,1819,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries ,42750.07
EM,1819,col 2,Travel Conferences," ACEP21 Conference, Boston, MA - Paparian ",2130.93
EM,1819,col 3,Training and Education Costs, McGraw Hill Access EM ,12955.37
EM,1819,col 4,"Salaries, Benefits and Wages for Faculty", Faculty Administrative Compensation ,17163.63
EM,2021,col 1,"Salaries, Benefits and Wages for Residents", Portion of 1 resident salary &amp; benefits ,25000
FM,1920,col 1,Medical Equipment, Expenses occured 10/21 and 12/21 ,4108.49
FM,1920,col 2,"Salaries, Benefits and Wages for Faculty"," Description, ",55891.51
EM,1819,col 1,"Salaries, Benefits and Wages for Residents"," Due to rural designation, no direct medical education (DME) funds available to pay for resident salary/stipends. Grants funds provided is allocated to resident salary support. ",25000
EM,1819,col 2,"Salaries, Benefits and Wages for Residents"," Due to rural designation, no direct medical education (DME) funds available to pay for resident salary/stipends. Grants funds provided is allocated to resident salary support. ",25000
EM,1819,col 3,"Salaries, Benefits and Wages for Residents"," Due to rural designation, no direct medical education (DME) funds available to pay for resident salary/stipends. Grants funds provided is allocated to resident salary support. ",25000
EM,1819,col 1,"Salaries, Benefits and Wages for Residents", Portion of 1 resident salary &amp; benefits ,75000
FM,1920,col 1,Licensing Fees," Physician training licenses, DEA Licenses ",7680
FM,1920,col 2,Faculty Development, Point of Care Ultrasound training for faculty ,3000
FM,1920,col 3,Training and Education Costs, ATLS ,1050
FM,1920,col 4,Training and Education Costs, True Learn ,5855
FM,1920,col 5,Training and Education Costs, COMLEX 3 ,5340
FM,1920,col 6,Information Technology (IT) Systems, IT rental equipment for inservice on-line exams ,3475
FM,1920,col 7,"Salaries, Benefits and Wages for Faculty", Didactic teaching stipends ,3600
EM,2021,col 1,"Salaries, Benefits and Wages for Residents"," Funds were used for resident salaries, benefits and wages. ",30000
EM,2021,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries ,60000
FM,1920,col 1,"Salaries, Benefits and Wages for Faculty", We have CMS funding for on 8 of our 13 residents. We are required to have additional faculty to support training which is not covered by CMS funding. ,25000
EM,1819,col 1,Faculty Development, Faculty development conference fees-ACEP ,1120
EM,1819,col 2,Information Technology (IT) Systems," Remote conferencing Software (Remo.co), Payroll software (Patriot), Program to inventory and track SIM equipment (ASAP-Barcloud); Website management (GoDaddy) ",6928.63
EM,1819,col 3,Licensing Fees, Reimbursed residents for licensing fees (Multiple dates over the 6 month period) ,2945
EM,1819,col 4,Meals," Covered meals at conferences, Uber eats for 142 interviewed applicants, dinner at alumni networking social at ACEP national conference ",16013.02
EM,1819,col 5,"Memberships, Subscriptions and Professional Activity Costs"," Paid for subscriptions to board prep subscriptions (ROSH), Medical Spanish course (DocMolly), and professional society memberships ",3926.83
EM,1819,col 6,Non-Medical Benefits, Parking reimbursement for outside rotations; Uber reimbursement for safe rides home when fatigued; Moving stipend for new interns ,2040.4
EM,1819,col 7,"Salaries, Benefits and Wages for Faculty", Additional faculty coverage to allow residents to attend conferences ,4247.28
EM,1819,col 8,"Salaries, Benefits and Wages for Residents", Stipend to off service resident to assist with ED coverage during department retreat ,785
EM,1819,col 9,Training and Education Costs, Training session for chest tubes for PGY2s ,264.8
EM,1819,col 10,Travel Conferences, Covered the costs of registration and travel to ACEP for 16 residents and you our weekedn retreat for 64 residents (Multiple dates) ,45039.83
EM,1819,col 11,Unused Funds, Will use to suppliment salary of an incoming resident who will not be paid for a month by the county ,7629.67
EM,1819,col 12,"Salaries, Benefits and Wages for Other GME Staff", Hired administrative support for the program during a period where one administrative assistant left and we were seeking and going through the hiring process. ,19936.55
FM,1920,col 1,"Salaries, Benefits and Wages for Other GME Staff", GME Admin Staff Salary/Benefits From 7/2021-12/2021 ,26028.96
FM,1920,col 2,"Salaries, Benefits and Wages for Residents"," Benefits, and Wages for Residents from 7/2021-9/2021 ",3971.04
FM,1920,col 1,"Salaries, Benefits and Wages for Residents", 07/01/21 - 12/31/21 Lucas Burton Salaries ,20508.65
FM,1920,col 2,"Salaries, Benefits and Wages for Residents", 07/01/21 - 12/31/21 Lucas Burton Fringe Benefits 21.9% ,4491.35
FM,1920,col 1,"Salaries, Benefits and Wages for Residents"," Salary for training period July-December 2021 for Jennifer Tsai, MD ",37500
FM,1920,col 1,"Salaries, Benefits and Wages for Faculty", Payment to Petaluma Health Center to cover the cost of precepting hours ,37500
FM,1920,col 1,Contractual Consultant Costs, RPS Consultant - AAFP (deposit) ,1000
FM,1920,col 2,Contractual Consultant Costs, RPS Consultant - AAFP (invoice balance) ,9000
FM,1920,col 3,Faculty Development, NIPDD Fellowship for Program Director ,5500
FM,1920,col 4,Information Technology (IT) Systems, Epocrates App for interns and faculty on inpatient medicine service ,1664
FM,1920,col 5,Information Technology (IT) Systems, Synchronicity software for ultrasound in FMC purchase and renewal ,7836
FM,1920,col 1,"Salaries, Benefits and Wages for Residents"," Funds were used for resident salaries, benefits and wages. ",60000
FM,1920,col 1,Unused Funds, paying for two part time hourly preceptors for the residents ,75000
EM,2021,col 1,"Salaries, Benefits and Wages for Residents", 62.11% of Salaries for five residents for period 7/1/2021-12/31/2021 ,93303
EM,2021,col 2,"Salaries, Benefits and Wages for Residents", 62.11% of Benefits for five residents residents calculated as 30.2% of total salaries for period 7/1/2021-12/31/2021 ,28177
EM,2021,col 3,"Salaries, Benefits and Wages for Faculty", 62.11% of total Salaries and Wages for Program Director allocated to five residents for period 7/1/2021-12/31/2021. ,3289
EM,2021,col 4,Contractual Consultant Costs, 62.11% of total contractual fees paid to faculty allocated to five residents for period 7/1/2021-12/31/2021. ,37041
EM,2021,col 5,Travel Conferences, 62.11% of total expenses allocated to five residents 7/1/2021-12/31/2021. ,1824
EM,2021,col 6,Information Technology (IT) Systems, 62.11% of total IT expenses allocated to five residents for period 7/1/2021-12/31/2021. ,9191
EM,2021,col 7,Licensing Fees, 62.11% of total expenses allocated to five residents 7/1/2021-12/31/2021. ,446
EM,2021,col 8,Training and Education Costs, 62.11% of total expenses for training and education allocated to five residents for period 7/1/2021-12/31/2021. ,347
EM,2021,col 9,Meals, 62.11% of total expenses allocated to five residents 7/1/2021-12/31/2021. ,8397
EM,2021,col 10,"Memberships, Subscriptions and Professional Activity Costs"," 62.11% of total expenses for dues , subscriptions and professional activities allocated to five residents for period 7/1/2021-12/31/2021. ",2344
EM,2021,col 11,"Salaries, Benefits and Wages for Other GME Staff", 62.11% of total Salaries and Wages for Program Coordinator allocated to five residents for period 7/1/2021-12/31/2021. ,1469
EM,2021,col 12,"Salaries, Benefits and Wages for Other GME Staff", 62.11% of total paid benefits for Program Coordinator allocated to five residents in period 7/1/2021-12/31/2021 ,444
EM,2021,col 13,Medical Equipment, 62.11% of total expenses allocated to five residents 7/1/2021-12/31/2021. ,783
EM,2021,col 14,Faculty Development, 62.11% of total expenses for faculty development allocated to five residents for period 7/1/2021-12/31/2021. ,445
FM,1920,col 1,"Salaries, Benefits and Wages for Faculty", Faculty Wages ,10123.64
FM,1920,col 2,"Salaries, Benefits and Wages for Residents", Resident Wages ,8000
FM,1920,col 3,"Salaries, Benefits and Wages for Other GME Staff", Staff Wages ,4000
FM,1920,col 4,"Salaries, Benefits and Wages for Residents", Education Stipend - Liang ,1000
FM,1920,col 5,Meals, Wellness Lunch ,323.46
FM,1920,col 6,"Salaries, Benefits and Wages for Residents", Education Stipend - Hartung ,988.95
FM,1920,col 7,"Salaries, Benefits and Wages for Residents", Education Stipend - Bui ,1000
FM,1920,col 8,"Salaries, Benefits and Wages for Residents", Education Stipend - Noces ,539.82
FM,1920,col 9,Meals, Wellness Lunch ,120.5
FM,1920,col 10,Training and Education Costs, Mileage reimbursement for Peds ER rotation ,499.95
FM,1920,col 11,Non-Medical Benefits, Print of recruitment brochures ,815.93
EM,1819,col 1,Non-Medical Benefits, Resident Health and Fitness ,3951
EM,1819,col 2,Faculty Development, Ending Physician Burnout Global Summit for Faculty Physician ,495
EM,1819,col 3,Training and Education Costs, Resident Financial Education Books ,118.04
EM,1819,col 4,Travel Conferences, EM Wilderness Preparation and Travel ,240
EM,1819,col 5,Training and Education Costs, Resident Financial Education Books ,440.17
EM,1819,col 6,Non-Medical Benefits, Underrepresented minority Vines Summer Health Academy Sim Lab for Minority College Students. ,2000
EM,1819,col 7,Training and Education Costs, Ultrasound Fellowship Virtual Conference ,300
EM,1819,col 8,Meals, Women in Medicine Meals ,8800
EM,1819,col 9,Training and Education Costs, Standard mileage rate .56 per mile travel for residents at CHLA ,6000
EM,1819,col 10,Training and Education Costs, Canopy Medical Spanish Courses ,4800
EM,1819,col 11,Training and Education Costs, Radiopaedia Radiology Curriculum ,1000
EM,1819,col 12,Information Technology (IT) Systems, M Modal Dictation Software for Emergency Medicine ,4250
EM,1819,col 13,Training and Education Costs, Book: ECG's for the EM Physician ,486.16
EM,1819,col 14,Training and Education Costs, Educational Ultrasound Training Probes (purchase of 20) ,90000
EM,1819,col 15,Training and Education Costs, Glidescope Blades for resident training ,3095.5
EM,1819,col 16,Information Technology (IT) Systems, Ultrasound Training Viewer Software Device ,607.56
EM,1819,col 17,Training and Education Costs, Ultrasound Fellowship Start ,486.16
EM,1819,col 18,"Memberships, Subscriptions and Professional Activity Costs", Holocron Core Ultrasound Membership ,3899.61
EM,1819,col 19,Training and Education Costs, Border Health rotation education ,4500
EM,1819,col 20,Training and Education Costs, Cadaver Lab Cost ,14450
EM,1819,col 21,Training and Education Costs, Trauma Bay Training Lights ,21235.22
EM,1819,col 22,Faculty Development, Motivational Works Online ,229
EM,1819,col 23,Information Technology (IT) Systems, Lumify Software Ultrasound ,614.17
EM,1819,col 24,"Salaries, Benefits and Wages for Residents", Funds will be applied on Chief Resident Salaries ,94502.41
EM,2021,col 1,"Salaries, Benefits and Wages for Faculty", Faculty pay and fringe benefits ,1418.11
EM,2021,col 2,"Salaries, Benefits and Wages for Faculty", Faculty pay and fringe benefits ,1418.11
EM,2021,col 3,"Salaries, Benefits and Wages for Faculty", Faculty pay and fringe benefits ,1418.11
EM,2021,col 4,"Salaries, Benefits and Wages for Faculty", Faculty pay and fringe benefits ,1418.11
EM,2021,col 5,"Salaries, Benefits and Wages for Faculty", Faculty pay and fringe benefits ,1418.11
EM,2021,col 6,"Memberships, Subscriptions and Professional Activity Costs", Paperform subscription ,390
EM,2021,col 7,"Salaries, Benefits and Wages for Faculty", Faculty pay and fringe benefits ,1418.11
EM,2021,col 8,Unused Funds, Unused Funds ,16101.34
FM,1920,col 1,"Salaries, Benefits and Wages for Faculty", MAT Coordinator Position ,15840.4
FM,1920,col 2,Training and Education Costs, Office Supplies &amp; Training ,1263.98
FM,1920,col 3,Unused Funds," Description, ",35811.9
FM,2021,col 1,"Memberships, Subscriptions and Professional Activity Costs"," Membership to: AFMA, ALSO, CFAP, FREIDA, MATCH, NEJM Healer, NEJM Med Board, New Innovations ",12904.49
FM,2021,col 2,"Salaries, Benefits and Wages for Residents", Resident Salaries and Benefits ,12095.51
EM,1819,col 1,"Salaries, Benefits and Wages for Residents", 62.11% of Salaries for three residents for period 7/1/2021-12/31/2021 ,55982
EM,1819,col 2,"Salaries, Benefits and Wages for Residents", 62.11% of Benefits for three residents residents calculated as 30.2% of total salaries for period 7/1/2021-12/31/2021 ,16906
EM,1819,col 3,"Salaries, Benefits and Wages for Faculty", 62.11% of total Salaries and Wages for Program Director allocated to three residents for period 7/1/2021-12/31/2021) ,1974
EM,1819,col 4,Contractual Consultant Costs, 62.11% of total contractual fees paid to faculty allocated to three residents for period 7/1/2021-12/31/2021. ,22224
EM,1819,col 5,Travel Conferences, 62.11% of total travel expenses allocated to three residents 7/1/2021-12/31/2021. ,1094
EM,1819,col 6,Information Technology (IT) Systems, 62.11% of total IT expenses allocated to three residents for period 7/1/2021-12/31/2021. ,5515
EM,1819,col 7,Licensing Fees, 62.11% of total expenses allocated to three residents 7/1/2021-12/31/2021. ,268
EM,1819,col 8,Training and Education Costs, 62.11% of total expenses for training and education allocated to three residents for period 7/1/2021-12/31/2021. ,208
EM,1819,col 9,Meals, 62.11% of total expenses allocated to three residents 7/1/2021-12/31/2021. ,5038
EM,1819,col 10,"Memberships, Subscriptions and Professional Activity Costs"," 62.11% of total expenses for dues , subscriptions and professional activities allocated to three residents for period 7/1/2021-12/31/2021. ",1406
EM,1819,col 11,"Salaries, Benefits and Wages for Other GME Staff", 62.11% of total Salaries and Wages for Program Coordinator allocated to three residents for period 7/1/2021-12/31/2021. ,882
EM,1819,col 12,"Salaries, Benefits and Wages for Other GME Staff", 62.11% of total paid benefits for Program Coordinator in period 7/1/2021-12/31/2021 ,266
EM,1819,col 13,Medical Equipment, 62.11% of total medical expenses allocated to three residents 7/1/2021-12/31/2021. ,470
EM,1819,col 14,Faculty Development, 62.11% of total expenses for faculty development allocated to three residents for period 7/1/2021-12/31/2021. ,267
FM,1920,col 1,"Salaries, Benefits and Wages for Residents", Funds applied to resident salaries ,112500
FM,2021,col 1,"Salaries, Benefits and Wages for Other GME Staff", Program Coordinator ,16712
FM,2021,col 2,"Salaries, Benefits and Wages for Residents", OBGYN Resident Suppor ,8288
FM,1920,col 1,Meals, Meetings / Trainings / Special Events ,25000
FM,1920,col 1,"Salaries, Benefits and Wages for Residents", 7/01/2021-12/31/2021 for Resident Salaries ,50000
FM,1920,col 1,"Salaries, Benefits and Wages for Residents", Kari Barnard Resident Salaries and Benefits ,6590.85
FM,1920,col 2,"Salaries, Benefits and Wages for Residents", Kari Barnard Resident Salaries and Benefits ,6590.85
FM,1920,col 3,"Salaries, Benefits and Wages for Residents", Kari Barnard Resident Salaries and Benefits ,6590.84
FM,1920,col 4,"Salaries, Benefits and Wages for Residents", Kari Barnard Resident Salaries and Benefits ,6291.27
FM,1920,col 5,"Salaries, Benefits and Wages for Residents", Kari Barnard Resident Salaries and Benefits ,6590.85
FM,1920,col 6,"Salaries, Benefits and Wages for Residents", Kari Barnard Resident Salaries and Benefits ,3909.14
FM,1920,col 7,Contractual Consultant Costs, ER Residency Preceptor Services Jul-Sep 2021 ,277.66
FM,1920,col 8,Contractual Consultant Costs, ER Residency Preceptor Services Oct-Dec 2021 ,277.66
FM,1920,col 9,"Memberships, Subscriptions and Professional Activity Costs", Kari Barnard CAFP Resident Membership Fee ,35
FM,1920,col 10,Insurance, Malpractice Insurance ,16324
FM,1920,col 11,Training and Education Costs, Kari Barnard Resident Rural Rotation Travel Costs ,1321.88
FM,1920,col 12,Training and Education Costs, Kari BarnardResident ALSO Course Fees ,150
FM,1920,col 13,Training and Education Costs, Kari Barnard ABFM Resident In-Training Exam Fees ,50
FM,2021,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries ,15000
FM,2021,col 2,Medical Equipment, IPads for Butterfly IQ Readers ,4500
FM,2021,col 3,Unused Funds, Unspent Funds ,10500
FM,1920,col 1,"Salaries, Benefits and Wages for Residents"," Salary, Benefits and Wages for Nicole Kashani ",75000
FM,1920,col 1,"Salaries, Benefits and Wages for Residents", 58.76% of Salaries for three residents for period 7/1/2021-12/31/2021 ,52546
FM,1920,col 2,"Salaries, Benefits and Wages for Residents", 58.76% of Benefits for three residents residents calculated as 30.2% of total salaries for period 7/1/2021-12/31/2021 ,15869
FM,1920,col 3,"Salaries, Benefits and Wages for Faculty", 58.76% of total Salaries and Wages for Program Director allocated to three residents for period 7/1/2021-12/31/2021. ,15151
FM,1920,col 4,Contractual Consultant Costs, 58.76% of total contractual fees paid to faculty allocated to three residents for period 7/1/2021-12/31/2021. ,14992
FM,1920,col 5,Information Technology (IT) Systems, 58.76% of total IT expenses allocated to three residents for period 7/1/2021-12/31/2021. ,5308
FM,1920,col 6,Licensing Fees, 58.76% of total expenses allocated to three residents 7/1/2021-12/31/2021. ,53
FM,1920,col 7,Training and Education Costs, 58.76% of total expenses for training and education allocated to three residents for period 7/1/2021-12/31/2021. ,231
FM,1920,col 8,Meals, 58.76% of total expenses allocated to three residents 7/1/2021-12/31/2021. ,596
FM,1920,col 9,"Memberships, Subscriptions and Professional Activity Costs"," 58.76% of total expenses for dues , subscriptions and professional activities allocated to three residents for period 7/1/2021-12/31/2021. ",1214
FM,1920,col 10,"Salaries, Benefits and Wages for Other GME Staff", 58.76% of total Salaries and Wages for Program Coordinator allocated to three residents for period 7/1/2021-12/31/2021. ,3175
FM,1920,col 11,"Salaries, Benefits and Wages for Other GME Staff", 58.76% of total paid benefits for Program Coordinator allocated to three residents in period 7/1/2021-12/31/2021 ,959
FM,1920,col 12,Medical Equipment, 58.76% of total expenses allocated to three residents 7/1/2021-12/31/2021. ,886
FM,1920,col 13,Faculty Development, 58.76% of total expenses for faculty development allocated to three residents for period 7/1/2021-12/31/2021. ,1520
FM,1819,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries and Benefits ,56250
FM,1920,col 1,"Salaries, Benefits and Wages for Residents", Residents Salaries ,4490.43
FM,1920,col 2,"Memberships, Subscriptions and Professional Activity Costs", Global Ultrasound Institute ,3000
FM,1920,col 3,"Memberships, Subscriptions and Professional Activity Costs", ZOOM ,1725.08
FM,1920,col 4,"Salaries, Benefits and Wages for Residents", Resident Salaries ,15784.49
FM,1920,col 1,"Salaries, Benefits and Wages for Residents"," Description, ",25000
FM,1920,col 1,"Salaries, Benefits and Wages for Residents", 2020 PGY Resident Salaries 7/1/21-12/31/21 ,25000
FM,2021,col 1,"Salaries, Benefits and Wages for Residents"," Qtr #1 Salary for Pesqueira, Juan Pablo (Amount does not include benefits - total including benefits is $16,598) ",12768
FM,2021,col 2,"Salaries, Benefits and Wages for Residents"," Qtr #2 salary for Pesqueira, Juan Pablo (Amount does not include total salary or benefits - total is for QTR 2 is $20,384) ",12232
FM,2021,col 1,"Salaries, Benefits and Wages for Faculty", 07/21 - 12/21 Salaries/Benefits/Wages ,60000
IM,1920,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries ,25000
IM,1920,col 2,Medical Equipment, Butterfly IQ Bedside Ultrasound Equipment for resident edcuation ,29917.2
IM,1920,col 3,Information Technology (IT) Systems, Butterfly Software/Security License ,7181.4
IM,1920,col 4,Unused Funds, Unspent Funds ,10601.4
FM,2021,col 1,"Salaries, Benefits and Wages for Faculty", We have CMS funding for on 8 of our 13 residents. We are required to have additional faculty to support training which is not covered by CMS funding. ,25000
FM,2021,col 1,"Salaries, Benefits and Wages for Residents", Benefits and Wages for Residents from 9/2021-12/2021 ,10673.83
FM,2021,col 2,Unused Funds," Funds to be used from 1/2022-6/30/2022 for GME Staff Wages, Salaries, and Benefits ",14326.17
IM,1920,col 1,Faculty Development, Point of Care Ultrasound training for faculty ,2960
IM,1920,col 2,Information Technology (IT) Systems, Rent and set-up IT equipment for on line testing ,3400
IM,1920,col 3,Licensing Fees, Physician Training Licenses for 8 interns ,4320
IM,1920,col 4,"Memberships, Subscriptions and Professional Activity Costs"," AOGME Virtual Residency Fair, NEJM renewal ",886
IM,1920,col 5,Training and Education Costs," ACLS/BLS, COMLEX 3, ACP, MKSAP, ACOI ",18434
FM,2021,col 1,"Salaries, Benefits and Wages for Faculty", Faculty salary support for precepting/supervising residents at Borrego FQHC clinic for underserved population. ,25000
FM,2021,col 2,--Select One--," Description, ",0
IM,1920,col 1,Medical Equipment, GE Vscan Ultrasound Probes x 4 ,13880
IM,1920,col 2,Training and Education Costs, Awesome Board Review Course ,8360
IM,1920,col 3,Licensing Fees, California Medical Physician License Fees ,16434
IM,1920,col 4,Training and Education Costs, American College of Physicians MKSAP-19 Board Prep Study Material ,4773
IM,1920,col 5,"Memberships, Subscriptions and Professional Activity Costs", American College of Physicians Membership: Residents &amp; Associate Program Directors ,4988
IM,1920,col 6,Non-Medical Benefits, Resident Team Building &amp; Wellness Event ,751
IM,1920,col 7,Non-Medical Benefits, Resident Team Building &amp; Wellness Event ,814
IM,1920,col 8,Unused Funds, Unused Fund ,25000
IM,1920,col 1,"Salaries, Benefits and Wages for Residents", Portion of benefits and salaries for 2 residents ,50000
